column_2,column_3,column_4,column_5,column_6,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_7
3,1,0,0,6,0,2,2,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,6,1,0
4,1,0,0,6,0,3,4,1,1,0,1,0,1,0,4,0,0,0,0,2,0,1,0,0,0,3,4,0
4,2,0,0,1,0,0,3,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,1
6,2,30,0,1,0,0,4,0,1,1,1,1,0,0,4,0,0,0,0,5,0,1,0,0,0,1,4,1
4,2,1221,29,6,0,3,5,1,1,1,0,1,0,1,5,0,1,1,0,0,0,0,0,0,0,4,1,1
3,4,505,38,2,0,3,2,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,0
4,3,0,0,1,0,0,7,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,6,1,1
1,4,0,0,1,0,0,5,1,1,0,1,1,1,0,4,0,0,0,0,2,0,1,0,0,0,3,6,1
1,4,0,0,1,0,0,4,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
1,4,0,0,1,5,0,4,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,1,1,1,1,4,1
2,4,63,0,6,0,5,4,1,1,0,1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,3,4,1
4,2,17,1,10,0,5,7,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1
3,1,450,8,6,0,0,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
3,1,41,6,4,0,0,2,1,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,5,6,1
6,2,1,0,10,0,0,2,1,0,0,0,1,0,0,6,0,1,0,1,0,0,0,0,0,0,6,6,1
2,4,5,1,1,0,0,3,1,0,0,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0,6,7,1
1,4,0,0,1,0,0,6,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,6,1,1
6,2,0,0,1,0,0,5,1,0,1,1,1,0,0,1,0,1,1,1,9,0,0,0,0,0,6,1,1
3,4,245,56,1,0,0,3,1,0,1,0,1,0,0,6,0,1,1,0,0,0,0,0,0,0,6,6,1
2,3,178,3,2,0,9,3,0,0,1,1,1,0,0,7,0,0,0,1,1,0,0,0,0,0,6,7,0
1,4,0,0,1,0,0,6,1,1,1,1,1,0,0,7,0,0,0,0,0,0,0,1,1,1,6,7,1
1,4,9363,231,1,0,13,3,1,0,1,0,1,0,0,7,0,0,0,1,50,0,0,0,0,0,1,6,1
6,2,15,0,6,0,0,4,1,1,0,1,0,1,0,6,0,0,0,0,0,0,1,0,1,0,0,4,1
3,1,0,0,6,2,0,4,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,1,0,0,2,7,0
2,4,912,15,2,0,3,7,1,1,1,1,1,1,1,6,0,0,0,0,7,0,0,1,1,0,2,6,0
6,3,3,0,1,0,0,3,1,0,1,0,1,0,0,6,0,0,0,1,5,0,0,0,0,0,1,6,1
